run_id,model,method,budget_N,rho,seed,aligned_accuracy,bias_conflict_accuracy,pairwise_flip_rate,counterfactual_consistency,worst_group_accuracy,train_minutes,gpu_minutes,n80_pass,notes
lenet_groupdro_N50_seed2,lenet,groupdro,50,0.999,2,0.9993000030517578,0.546155571937561,0.4537111222743988,0.065700002014637,0.01224489789456129,2.038503022491932,2.038503022491932,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N50_seed3,lenet,groupdro,50,0.999,3,0.9976000189781189,0.5680888891220093,0.43147778511047363,0.15549999475479126,0.0009910803055390716,1.986538828164339,1.986538828164339,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N50_seed4,lenet,groupdro,50,0.999,4,0.998199999332428,0.6115999817848206,0.387800008058548,0.17219999432563782,0.01982160471379757,1.974382897466421,1.974382897466421,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N500_seed0,lenet,groupdro,500,0.99,0,0.9944999814033508,0.9257000088691711,0.07177777588367462,0.798799991607666,0.732408344745636,2.059783947467804,2.059783947467804,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N500_seed1,lenet,groupdro,500,0.99,1,0.9965999722480774,0.9072777628898621,0.09084444493055344,0.7412999868392944,0.6666666865348816,1.7746008840699992,1.7746008840699992,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N500_seed2,lenet,groupdro,500,0.99,2,0.9962999820709229,0.9326666593551636,0.06538888812065125,0.8206999897956848,0.6214073300361633,1.3891546746095023,1.3891546746095023,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N500_seed3,lenet,groupdro,500,0.99,3,0.9939000010490417,0.9177555441856384,0.07876666635274887,0.7857999801635742,0.5564681887626648,2.0101652731498083,2.0101652731498083,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N500_seed4,lenet,groupdro,500,0.99,4,0.9941999912261963,0.9213888645172119,0.07526666671037674,0.7914000153541565,0.3845391571521759,1.7138177153964838,1.7138177153964838,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N5000_seed0,lenet,groupdro,5000,0.9,0,0.9805999994277954,0.9619110822677612,0.021755555644631386,0.9369000196456909,0.8152400851249695,1.5625141255557538,1.5625141255557538,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N5000_seed1,lenet,groupdro,5000,0.9,1,0.991599977016449,0.9821444153785706,0.011611111462116241,0.96670001745224,0.9551934599876404,2.0868780774374804,2.0868780774374804,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N5000_seed2,lenet,groupdro,5000,0.9,2,0.9932000041007996,0.9850444197654724,0.009211110882461071,0.9735000133514404,0.9428251385688782,1.9445530546208223,1.9445530546208223,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N5000_seed3,lenet,groupdro,5000,0.9,3,0.9890999794006348,0.9771444201469421,0.014544444158673286,0.9580000042915344,0.882956862449646,2.1382831354935963,2.1382831354935963,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N5000_seed4,lenet,groupdro,5000,0.9,4,0.9854000210762024,0.9725221991539001,0.015599999576807022,0.954200029373169,0.9078295230865479,2.3239645009239513,2.3239645009239513,True,source=autodl_rtx4090_cuda12_4
resnet18_mnist_dfr_N100_seed0,resnet18_mnist,dfr,100,0.998,0,0.9998000264167786,0.5386999845504761,0.46122223138809204,0.06459999829530716,0.0011210762895643711,0.004672102133433024,0.004672102133433024,False,source=autodl_rtx4090_cuda12_4
resnet18_mnist_dfr_N100_seed1,resnet18_mnist,dfr,100,0.998,1,0.9980999827384949,0.4858555495738983,0.5136222243309021,0.013899999670684338,0.01287128683179617,0.006400474409262339,0.006400474409262339,False,source=autodl_rtx4090_cuda12_4
resnet18_mnist_dfr_N100_seed2,resnet18_mnist,dfr,100,0.998,2,0.9968000054359436,0.5251888632774353,0.4744444489479065,0.06639999896287918,0.0010266940807923675,0.0038355149328708647,0.0038355149328708647,False,source=autodl_rtx4090_cuda12_4
resnet18_mnist_dfr_N100_seed3,resnet18_mnist,dfr,100,0.998,3,0.9984999895095825,0.5958777666091919,0.40368887782096863,0.10939999669790268,0.07623318582773209,0.004293209811051687,0.004293209811051687,False,source=autodl_rtx4090_cuda12_4
