run_id,status,model,method,budget_N,seed,data_seed,train_seed,start_time,end_time,device,config_path,checkpoint_path,metrics_path,notes
lenet_erm_N5000_seed0,completed,lenet,erm,5000,0,0,0,,2026-07-12T00:17:34+02:00,cuda,outputs_final/lenet/erm/N5000/seed0/config_resolved.yaml,outputs_final/lenet/erm/N5000/seed0/checkpoint.pt,outputs_final/lenet/erm/N5000/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed1,completed,lenet,erm,5000,1,1,1,,2026-07-12T00:19:03+02:00,cuda,outputs_final/lenet/erm/N5000/seed1/config_resolved.yaml,outputs_final/lenet/erm/N5000/seed1/checkpoint.pt,outputs_final/lenet/erm/N5000/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed2,completed,lenet,erm,5000,2,2,2,,2026-07-12T00:20:24+02:00,cuda,outputs_final/lenet/erm/N5000/seed2/config_resolved.yaml,outputs_final/lenet/erm/N5000/seed2/checkpoint.pt,outputs_final/lenet/erm/N5000/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed3,completed,lenet,erm,5000,3,3,3,,2026-07-12T00:21:24+02:00,cuda,outputs_final/lenet/erm/N5000/seed3/config_resolved.yaml,outputs_final/lenet/erm/N5000/seed3/checkpoint.pt,outputs_final/lenet/erm/N5000/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed4,completed,lenet,erm,5000,4,4,4,,2026-07-12T00:22:15+02:00,cuda,outputs_final/lenet/erm/N5000/seed4/config_resolved.yaml,outputs_final/lenet/erm/N5000/seed4/checkpoint.pt,outputs_final/lenet/erm/N5000/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed0,completed,lenet,groupdro,0,0,0,0,,2026-07-12T00:24:09+02:00,cuda,outputs_final/lenet/groupdro/N0/seed0/config_resolved.yaml,,outputs_final/lenet/groupdro/N0/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed1,completed,lenet,groupdro,0,1,1,1,,2026-07-12T00:25:38+02:00,cuda,outputs_final/lenet/groupdro/N0/seed1/config_resolved.yaml,,outputs_final/lenet/groupdro/N0/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed2,completed,lenet,groupdro,0,2,2,2,,2026-07-12T00:27:13+02:00,cuda,outputs_final/lenet/groupdro/N0/seed2/config_resolved.yaml,,outputs_final/lenet/groupdro/N0/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed3,completed,lenet,groupdro,0,3,3,3,,2026-07-12T00:29:25+02:00,cuda,outputs_final/lenet/groupdro/N0/seed3/config_resolved.yaml,,outputs_final/lenet/groupdro/N0/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed4,completed,lenet,groupdro,0,4,4,4,,2026-07-12T00:31:15+02:00,cuda,outputs_final/lenet/groupdro/N0/seed4/config_resolved.yaml,,outputs_final/lenet/groupdro/N0/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed0,completed,lenet,groupdro,100,0,0,0,,2026-07-12T00:43:49+02:00,cuda,outputs_final/lenet/groupdro/N100/seed0/config_resolved.yaml,,outputs_final/lenet/groupdro/N100/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed1,completed,lenet,groupdro,100,1,1,1,,2026-07-12T00:46:11+02:00,cuda,outputs_final/lenet/groupdro/N100/seed1/config_resolved.yaml,,outputs_final/lenet/groupdro/N100/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed2,completed,lenet,groupdro,100,2,2,2,,2026-07-12T00:48:10+02:00,cuda,outputs_final/lenet/groupdro/N100/seed2/config_resolved.yaml,,outputs_final/lenet/groupdro/N100/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed3,completed,lenet,groupdro,100,3,3,3,,2026-07-12T00:50:04+02:00,cuda,outputs_final/lenet/groupdro/N100/seed3/config_resolved.yaml,,outputs_final/lenet/groupdro/N100/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed4,completed,lenet,groupdro,100,4,4,4,,2026-07-12T00:51:58+02:00,cuda,outputs_final/lenet/groupdro/N100/seed4/config_resolved.yaml,,outputs_final/lenet/groupdro/N100/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed0,completed,lenet,groupdro,1000,0,0,0,,2026-07-12T01:14:00+02:00,cuda,outputs_final/lenet/groupdro/N1000/seed0/config_resolved.yaml,,outputs_final/lenet/groupdro/N1000/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed1,completed,lenet,groupdro,1000,1,1,1,,2026-07-12T01:16:01+02:00,cuda,outputs_final/lenet/groupdro/N1000/seed1/config_resolved.yaml,,outputs_final/lenet/groupdro/N1000/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed2,completed,lenet,groupdro,1000,2,2,2,,2026-07-12T01:18:10+02:00,cuda,outputs_final/lenet/groupdro/N1000/seed2/config_resolved.yaml,,outputs_final/lenet/groupdro/N1000/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
